(Measurement errors)
Measurement 0
Record	RMS error (%)	Mean reference measurement
   100	 3.2482		63.635
   103	 3.8053		57.5928
   105	 5.7063		72.2767
   111	 3.1170		59.4503
   113	 3.6274		50.677
   117	 1.9910		43.0563
   121	 2.7458		52.6386
   123	 2.5898		42.7254
   200	 6.5539		73.3721
   202	11.2249		72.0719
   210	 7.4534		73.3486
   212	 3.7852		76.0751
   213	 4.2034		89.5515
   214	 5.8701		63.2565
   219	 4.7651		60.553
   221	 6.2693		69.0834
   222	31.0371		73.8337
   228	 5.0859		56.9916
   231	 3.6454		44.5372
   232	 6.4148		60.6379
   233	14.8984		85.3353
   234	 4.4828		76.3021
__________________________________________________
Average  6.4782		64.4092

Summary of results from 22 records
