Epoch, Train Loss, Val Loss, Val Acc,Precision,Recall
1,0.4283,0.4161,0.9853,0.9164,0.9658
2,0.4140,0.4169,0.9864,0.9572,0.9286
3,0.4112,0.4140,0.9897,0.9606,0.9536
4,0.4108,0.4133,0.9895,0.9452,0.9692
5,0.4102,0.4137,0.9893,0.9458,0.9663
6,0.4091,0.4134,0.9895,0.9433,0.9714
7,0.4089,0.4131,0.9897,0.9419,0.9740
8,0.4087,0.4133,0.9894,0.9388,0.9756
9,0.4086,0.4130,0.9900,0.9448,0.9732
10,0.4085,0.4127,0.9899,0.9404,0.9780
11,0.4083,0.4128,0.9900,0.9432,0.9755
12,0.4082,0.4129,0.9898,0.9413,0.9763
13,0.4082,0.4129,0.9901,0.9454,0.9737
14,0.4082,0.4128,0.9900,0.9439,0.9749
15,0.4082,0.4128,0.9900,0.9437,0.9751
16,0.4082,0.4128,0.9900,0.9436,0.9753
17,0.4081,0.4128,0.9901,0.9442,0.9749
18,0.4082,0.4128,0.9900,0.9439,0.9749
19,0.4082,0.4128,0.9900,0.9429,0.9755
20,0.4082,0.4127,0.9902,0.9455,0.9743
